language client is not ready, cannot initialize chat state
I0329 17:01:05.116014   74795 serve.go:43] cloudcode_cli (Mar 16 2025 10:36:32 -0700, cl:737377283 baseline:736258458)
I0329 17:22:33.523136   74795 conversation.go:264] conversation server processing details for request #227: {RagStatus:RAG_NOT_FOUND AtlasExperience: PromptID: CompletionMethod: ExperimentDebugStringFingerprint: ModelURI: ChatClientIDHash:}
I0329 17:22:40.481316   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:22:40.481362   74795 document.go:425] OtherEditType (DELETE), returning ReasonRecentlyEdited
I0329 17:22:40.481411   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:22:40.481424   74795 conversation.go:896] Unable to retrieve excluded files for request #229: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:22:40.481503   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:22:40.481514   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:22:40.481592   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 17:22:41.156792   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:22:41.156835   74795 document.go:425] OtherEditType (DELETE), returning ReasonRecentlyEdited
I0329 17:22:41.156906   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:22:41.156921   74795 conversation.go:896] Unable to retrieve excluded files for request #232: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:22:41.156957   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:22:41.156967   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:22:41.157045   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
W0329 17:22:41.819214   74795 retention.go:173] Could not get offsets for range in document. range: &{{11 55} {11 56}}, error: invalid column number
W0329 17:22:41.819261   74795 retention.go:173] Could not get offsets for range in document. range: &{{11 67} {11 69}}, error: invalid column number
W0329 17:22:41.819271   74795 retention.go:173] Could not get offsets for range in document. range: &{{26 11} {27 0}}, error: invalid column number
W0329 17:22:41.819280   74795 retention.go:173] Could not get offsets for range in document. range: &{{42 2} {42 11}}, error: invalid line number
W0329 17:22:41.819289   74795 retention.go:173] Could not get offsets for range in document. range: &{{42 14} {42 21}}, error: invalid line number
W0329 17:22:41.819297   74795 retention.go:173] Could not get offsets for range in document. range: &{{50 10} {50 15}}, error: invalid line number
W0329 17:22:41.821058   74795 tokenizer.go:274] Unknown tokenization algorithm , defaulting to whitespace
E0329 17:22:41.970829   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.970905   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.970921   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.970936   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.970950   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.970981   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0329 17:22:41.971013   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
E0329 17:22:41.971027   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
E0329 17:22:41.971041   74795 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0329 17:22:41.971066   74795 retention.go:173] Could not get offsets for range in document. range: &{{3 2} {3 3}}, error: invalid column number
W0329 17:22:41.971091   74795 retention.go:173] Could not get offsets for range in document. range: &{{12 55} {12 56}}, error: invalid column number
W0329 17:22:41.971101   74795 retention.go:173] Could not get offsets for range in document. range: &{{12 67} {12 69}}, error: invalid column number
W0329 17:22:41.971110   74795 retention.go:173] Could not get offsets for range in document. range: &{{13 2} {13 25}}, error: invalid column number
W0329 17:22:41.971117   74795 retention.go:173] Could not get offsets for range in document. range: &{{13 28} {16 4}}, error: invalid column number
W0329 17:22:41.971127   74795 retention.go:173] Could not get offsets for range in document. range: &{{32 11} {33 0}}, error: invalid column number
W0329 17:22:41.971138   74795 retention.go:173] Could not get offsets for range in document. range: &{{48 2} {48 11}}, error: invalid line number
W0329 17:22:41.971164   74795 retention.go:173] Could not get offsets for range in document. range: &{{48 14} {48 21}}, error: invalid line number
W0329 17:22:41.971174   74795 retention.go:173] Could not get offsets for range in document. range: &{{56 10} {56 15}}, error: invalid line number
I0329 17:22:41.971317   74795 conversation.go:859] Starting getChatIDEContext with detected intent: 
I0329 17:22:41.971341   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 17:22:41.971392   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:22:41.971405   74795 conversation.go:896] Unable to retrieve excluded files for request #235: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:22:41.971436   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:22:41.971446   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:22:41.971526   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 17:22:56.922294   74795 conversation.go:159] conversation requested (request #237): {Input:sandyaa2004@cloudshell:~$ /bin/python /home/sandyaa2004/retrieve_rag.py
Traceback (most recent call last):
  File "/home/sandyaa2004/retrieve_rag.py", line 2, in &lt;module&gt;
    from vertexai.generative_models import GenerativeModel, Retrieval, Part
ImportError: cannot import name 'Retrieval' from 'vertexai.generative_models' (/home/sandyaa2004/.local/lib/python3.12/site-packages/vertexai/generative_models/__init__.py) DocumentURI:file:///home/sandyaa2004/retrieve_rag.py SelectedRange:{Start:{Line:43 Character:0} End:{Line:43 Character:0}} PrependInput: UserSelectedURIs:[] AdditionalContext:map[] ChatStreamingSetting:true YieldInfoIndex:0}
I0329 17:22:56.922446   74795 conversation.go:859] Starting getChatIDEContext with detected intent: UNKNOWN
I0329 17:22:56.922479   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
I0329 17:22:56.922527   74795 ide_context.go:131] Unable to read file at /home/sandyaa2004/.aiexclude
/home/sandyaa2004
file:///home/sandyaa2004
I0329 17:22:56.922542   74795 conversation.go:896] Unable to retrieve excluded files for request #237: open /home/sandyaa2004/.aiexclude: no such file or directory
I0329 17:22:56.922582   74795 rag_cache.go:973] Retrieving and scoring colocated and open files
I0329 17:22:56.922592   74795 rag_cache.go:1008] rerankByLangBoost=0
I0329 17:22:56.922699   74795 document.go:425] OtherEditType (UNKNOWN_EDIT), returning ReasonRecentlyEdited
